document_id,ticket_pk,retrieval_text_clean,metadata_json,source_system_encoded,similarity_method_encoded,priority_encoded,urgency_encoded,impact_encoded,text_word_count,text_char_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,special_char_ratio,repetition_ratio,text_complexity_score,retrieval_quality_score,corpus_quality_score,similarity_confidence
doc_10,2013_12,prio_high urg_high impact_high ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_12"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 4.0, ""impact_encoded"": 4.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,4.0,4.0,5,70,13.2,1.0,0.0,0.0,0.08571428571428572,0.0,5.69,0.5166666666666667,0.3,0.25
doc_11,2013_13,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_13"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_12,2013_14,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_14"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_13,2013_15,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_15"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_14,2013_57,prio_high urg_high impact_high ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_57"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 4.0, ""impact_encoded"": 4.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,4.0,4.0,6,87,13.666666666666666,1.0,0.0,0.0,0.08045977011494253,0.0,5.878666666666667,0.5166666666666667,0.3,0.25
doc_15,2013_16,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_16"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_16,2013_17,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_17"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_17,2013_169,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_169"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_18,2013_20,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket long_waiting_time,"{""ticket_pk"": ""2013_20"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,94,14.833333333333334,1.0,0.0,0.0,0.0851063829787234,0.0,6.3453333333333335,0.5166666666666667,0.3,0.25
doc_19,2013_21,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_21"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_20,2013_22,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_22"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_21,2013_23,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_23"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_22,2013_24,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_24"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_23,2013_25,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_25"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_24,2013_26,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_26"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_25,2013_27,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue moderate_resolution,"{""ticket_pk"": ""2013_27"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,97,15.333333333333334,1.0,0.0,0.0,0.07216494845360824,0.0,6.545333333333334,0.5166666666666667,0.3,0.25
doc_26,2013_28,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue fast_resolution,"{""ticket_pk"": ""2013_28"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_27,2013_29,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_29"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_28,2013_30,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_30"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_29,2013_31,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_31"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_30,2013_32,prio_low urg_low impact_medium ticket_unknown_status resolution_overdue fast_resolution,"{""ticket_pk"": ""2013_32"", ""source_system"": ""GLPI"", ""priority_encoded"": 2.0, ""urgency_encoded"": 2.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,2.0,2.0,3.0,6,87,13.666666666666666,1.0,0.0,0.0,0.08045977011494253,0.0,5.878666666666667,0.5166666666666667,0.3,0.25
doc_31,2013_33,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_33"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_32,2013_34,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_34"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_33,2013_35,prio_low urg_low impact_medium ticket_unknown_status resolution_overdue fast_resolution,"{""ticket_pk"": ""2013_35"", ""source_system"": ""GLPI"", ""priority_encoded"": 2.0, ""urgency_encoded"": 2.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,2.0,2.0,3.0,6,87,13.666666666666666,1.0,0.0,0.0,0.08045977011494253,0.0,5.878666666666667,0.5166666666666667,0.3,0.25
doc_34,2013_36,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution windows_environment critical_bios_risk high_risk_software_present multiple_software_components,"{""ticket_pk"": ""2013_36"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.7, ""similarity_confidence"": 0.65}",0,1,3.0,3.0,3.0,10,193,18.4,1.0,0.0,0.0,0.08290155440414508,0.0,7.779999999999999,0.7833333333333333,0.7,0.65
doc_35,2013_37,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_37"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_36,2013_38,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_38"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_37,2013_39,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_39"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_38,2013_40,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_40"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_39,2013_41,prio_high urg_high impact_high ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_41"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 4.0, ""impact_encoded"": 4.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,4.0,4.0,5,70,13.2,1.0,0.0,0.0,0.08571428571428572,0.0,5.69,0.5166666666666667,0.3,0.25
doc_40,2013_170,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_170"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_41,2013_43,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_43"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_42,2013_44,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_44"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,95,15.0,1.0,0.0,0.0,0.07368421052631578,0.0,6.412,0.5166666666666667,0.3,0.25
doc_43,2013_46,prio_low urg_low impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_46"", ""source_system"": ""GLPI"", ""priority_encoded"": 2.0, ""urgency_encoded"": 2.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,2.0,2.0,3.0,5,70,13.2,1.0,0.0,0.0,0.08571428571428572,0.0,5.69,0.5166666666666667,0.3,0.25
doc_44,2013_47,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_47"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_45,2013_49,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_49"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_46,2013_50,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_50"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
doc_47,2013_51,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution long_waiting_time,"{""ticket_pk"": ""2013_51"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,111,15.0,1.0,0.0,0.0,0.08108108108108109,0.0,6.414000000000001,0.5166666666666667,0.3,0.25
doc_48,2013_52,prio_high urg_high impact_medium ticket_unknown_status resolution_overdue moderate_resolution,"{""ticket_pk"": ""2013_52"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 4.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,4.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_49,2013_53,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution long_waiting_time,"{""ticket_pk"": ""2013_53"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,116,15.714285714285714,1.0,0.0,0.0,0.08620689655172414,0.0,6.699714285714286,0.5166666666666667,0.3,0.25
doc_50,2013_54,prio_low urg_low impact_medium ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_54"", ""source_system"": ""GLPI"", ""priority_encoded"": 2.0, ""urgency_encoded"": 2.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,2.0,2.0,3.0,6,89,14.0,1.0,0.0,0.0,0.07865168539325842,0.0,6.0120000000000005,0.5166666666666667,0.3,0.25
doc_51,2013_55,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution long_waiting_time,"{""ticket_pk"": ""2013_55"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,7,116,15.714285714285714,1.0,0.0,0.0,0.08620689655172414,0.0,6.699714285714286,0.5166666666666667,0.3,0.25
doc_52,2013_56,prio_medium urg_medium impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_56"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,5,76,14.4,1.0,0.0,0.0,0.07894736842105263,0.0,6.170000000000001,0.5166666666666667,0.3,0.25
